Item name,Item Seq,Item Number,NLU Group,NLU Number,Price Group,Price Group Seq,Price Tier,Price Tier Seq,Price Seq,Price 1,Price 2,Price 3,Price 4,Price 5,Price 6,Price 7,Price 8,Price 9,Price 10,Cost 1,Cost 2,Cost 3,Cost 4,Cost 5,Cost 6,Cost 7,Cost 8,Cost 9,Cost 10,Menu Board Price 1,Menu Board Price 2,Menu Board Price 3,Menu Board Price 4,Menu Board Price 5,Menu Board Price 6,Menu Board Price 7,Menu Board Price 8,Menu Board Price 9,Menu Board Price 10,Tare,Surcharge tax,Effective from,Effective to,Cross Reference 1,Cross Reference 2,Combo Group
"Add Belly",207718,202805,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195041,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Mushroom",207719,202806,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195046,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 4pk",207555,200017,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194886,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Chorizo 8pk",207556,201017,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194991,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Duck",207720,202807,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195051,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Chorizo",207721,202808,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195056,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Tuna",207722,202809,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195061,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Carnitas",207723,202810,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195066,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Oyster",207725,202812,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195076,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Shrimp",207726,202813,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195081,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 4pk",207566,200018,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194891,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Crab 8pk",207567,201018,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194996,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207819,200020,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194901,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 4pk",207577,200019,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194896,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Brussels 8pk",207578,201019,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195001,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207820,201020,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195006,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 4pk",207828,200021,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194906,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Lamb 8pk",207829,201021,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195011,34.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"Add Lamb",207833,202811,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195071,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"coco shr 4pk",207880,200022,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,194911,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
"coco shr 8pk",207881,201022,,,"16 Rails Juicer Test Food",18,"5 Chastain Park",238,195016,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",
